TIENDA_ID,MES_ID,VENTA_TOTAL
837,202310,1348.6
199,202307,1597.44
54,202306,1783.14
628,202310,1993.44
364,202407,2474.06
828,202311,3394.06
388,202401,3904.41
74,202307,4361.25
347,202307,4664.9
342,202402,4830.38
824,202308,4840.31
829,202306,4932.78
832,202311,4935.17
405,202402,5621.97
847,202311,6002.45
825,202306,6460.93
27,202307,7584.45
269,202402,8689.75
859,202406,9764.95
198,202404,9975.81
868,202405,10056.73
873,202403,10186.6
225,202407,11124.65
44,202305,11586.18
842,202311,11640.46
406,202402,11711.89
786,202306,12442.34
836,202306,13386.39
861,202406,14966.22
841,202311,15273.95
113,202310,16037.02
815,202305,16191.48
863,202403,16218.8
833,202308,16499.18
423,202405,17981.7
35,202309,18099.17
849,202311,19672.55
846,202401,20083.6
838,202311,21386.9
831,202306,24669.21
845,202311,28210.58
355,202307,29033.99
39,202401,31623.12
274,202407,33291.6
844,202311,33555.98
867,202405,33797.24
385,202402,34036.26
181,202307,34949.05
117,202305,39231.98
872,202406,40090.55
394,202401,40475.94
477,202412,42086.58
801,202306,44687.75
25,202402,45072.36
791,202302,48598.34
338,202308,48939.79
871,202405,48959.17
27,202306,49439.41
225,202406,53550.32
219,202310,54044.94
397,202308,59571.94
172,202308,60278.6
353,202309,60529.04
843,202406,63314.69
834,202309,66216.42
35,202310,68469.64
812,202304,69999.42
818,202310,70565.93
397,202307,73502.61
338,202307,73935.77
341,202303,74383.36
31,202402,75072.33
413,202304,78028.14
126,202406,78331.04
246,202302,81046.66
826,202306,82165.28
873,202412,84593.65
717,202311,89741.1
353,202308,92805.22
797,202412,93688.15
383,202306,93719.02
29,202305,97907.58
823,202306,103314.02
441,202311,104047.89
126,202405,106176.42
171,202402,106526.78
117,202306,108187.68
53,202308,108562.62
607,202309,111407.6
859,202412,111812.78
818,202412,113237.47
862,202406,113466.5
401,202306,113613.67
141,202402,115339.51
717,202303,117543.21
401,202305,118092.05
275,202412,121380.24
33,202304,122297.05
397,202310,125139.5
847,202412,125198.0
383,202307,127963.36
827,202403,129188.73
246,202303,129769.7
598,202307,130814.29
683,202412,138531.66
874,202407,139562.55
606,202307,140129.47
861,202412,145100.73
852,202406,145651.5
847,202312,148077.61
141,202403,150401.2
346,202305,154920.85
763,202412,155734.51
464,202412,158746.28
668,202412,159705.05
821,202306,163153.48
199,202306,164835.63
516,202412,165008.29
495,202412,165395.0
413,202303,166194.82
466,202412,168506.64
259,202412,169758.56
535,202412,172257.68
867,202412,173864.49
104,202308,174859.82
562,202310,175298.75
464,202411,180792.91
346,202304,180883.04
684,202412,182077.04
51,202306,182521.22
873,202406,183351.37
391,202302,185848.97
628,202311,186299.56
74,202308,187291.96
847,202401,187405.79
56,202412,188214.25
407,202311,189913.93
321,202412,192454.71
547,202412,193727.1
31,202403,194806.61
868,202412,194930.95
714,202412,195148.25
709,202308,198479.55
818,202311,199921.75
194,202303,200990.27
42,202403,201053.9
747,202412,201108.7
632,202311,202283.54
486,202412,203835.75
607,202412,204201.18
184,202407,204880.79
447,202302,206125.28
818,202402,206243.77
269,202412,208002.77
224,202307,208098.47
532,202412,211869.46
525,202412,212840.74
688,202412,214077.69
646,202412,215799.11
677,202412,216088.8
399,202412,216216.75
698,202311,217533.94
198,202403,217698.34
818,202312,217880.4
847,202402,218909.56
701,202412,220407.72
529,202412,220887.92
698,202310,222932.16
398,202305,224194.42
698,202412,224549.3
742,202412,227330.63
673,202412,227643.95
644,202412,228133.03
452,202407,228453.93
684,202401,229911.51
872,202412,230237.36
326,202412,230306.55
146,202304,230585.54
64,202412,231280.75
663,202412,231515.31
709,202412,231551.76
739,202301,231781.26
104,202412,231851.66
829,202412,232496.31
637,202412,233448.55
233,202412,233535.67
726,202305,234601.42
42,202404,234707.24
347,202306,235038.2
632,202310,235118.15
825,202412,235472.19
739,202412,235977.89
566,202412,237180.87
859,202407,238417.91
633,202312,238813.77
111,202412,239272.73
818,202403,239562.29
44,202304,239848.71
873,202405,239905.73
714,202411,240774.57
117,202412,240896.39
489,202412,240994.13
266,202412,242154.24
39,202412,243459.76
732,202412,243849.11
517,202412,243953.32
568,202304,244717.7
849,202412,245112.9
873,202411,245165.76
38,202412,245778.1
693,202412,246106.48
818,202401,246599.57
837,202311,246819.42
826,202412,246969.8
818,202411,247937.87
191,202412,248865.6
737,202412,251250.14
847,202403,251427.08
673,202308,251580.82
859,202411,252496.38
842,202412,252720.33
33,202303,253601.97
698,202301,253716.33
815,202412,253932.38
873,202407,253998.56
623,202412,254200.31
832,202412,255052.56
558,202412,256124.42
265,202412,256211.47
441,202412,256398.59
43,202412,257172.12
341,202302,257635.03
812,202412,259730.92
382,202412,259900.72
358,202412,260238.36
104,202402,260256.18
93,202412,260294.17
739,202302,260678.97
419,202407,262666.35
763,202311,263787.46
455,202312,263932.98
537,202412,264839.48
398,202304,264898.75
73,202412,265125.65
744,202412,265778.97
328,202412,266202.61
873,202404,266343.39
614,202412,268746.83
768,202311,268804.2
648,202412,270016.64
692,202310,271075.42
54,202305,271546.02
58,202412,271859.06
818,202404,271941.38
668,202411,272074.88
683,202310,272276.26
37,202412,272675.37
852,202412,272680.35
455,202310,273117.52
104,202309,273697.8
874,202412,274067.32
35,202412,274510.19
376,202412,275364.63
847,202404,275584.13
618,202412,275649.42
585,202412,276072.82
658,202412,276170.84
709,202305,276377.23
562,202412,276394.28
409,202412,277358.82
763,202312,277872.84
846,202412,278163.77
673,202307,279306.27
616,202412,279317.33
818,202406,280175.43
632,202309,280433.61
499,202412,280516.37
572,202412,280611.7
837,202412,280620.78
797,202301,281455.88
32,202412,283191.87
818,202407,283787.94
863,202412,285163.8
361,202412,285566.94
801,202412,285718.13
463,202412,286041.59
488,202412,286048.34
71,202412,286157.39
763,202305,286502.9
653,202412,287065.93
739,202304,287535.06
104,202311,287919.98
711,202412,288550.25
754,202412,288799.95
297,202412,289326.44
386,202412,289464.01
794,202412,289720.2
749,202412,290099.74
347,202412,290944.24
793,202412,291400.11
547,202311,292341.96
615,202412,292377.28
861,202407,292496.64
447,202301,292934.15
627,202412,293216.86
603,202412,293594.51
763,202301,293756.22
275,202411,294103.63
635,202412,294130.64
831,202311,294176.01
659,202412,294346.46
29,202412,294367.48
828,202412,294837.61
862,202412,294911.62
441,202411,295712.86
656,202412,295728.49
804,202303,295852.45
763,202303,295918.22
195,202412,296170.12
763,202302,296280.7
775,202412,297201.87
698,202302,297430.58
729,202412,298131.83
561,202412,298808.19
455,202412,298889.26
705,202412,298935.88
498,202412,299275.59
509,202412,299288.59
581,202412,300480.87
405,202401,300805.42
451,202412,301297.62
768,202412,301857.77
746,202412,302475.48
562,202402,302840.49
679,202412,302856.17
712,202412,303229.37
191,202312,303554.26
402,202407,304190.93
458,202412,304937.28
753,202412,305501.02
818,202405,305732.92
454,202412,306592.39
683,202402,306854.48
781,202412,307169.04
706,202412,307225.88
104,202310,307493.72
452,202406,307650.27
225,202412,308407.53
587,202412,308517.4
663,202301,308846.12
45,202412,308974.8
622,202412,309508.86
797,202302,309881.25
85,202412,310839.31
163,202412,311200.56
653,202308,311425.05
191,202401,311954.49
657,202412,313169.03
67,202412,313206.93
547,202310,313276.89
457,202412,313374.81
474,202412,314382.11
222,202412,314408.34
788,202412,314720.16
847,202411,314988.5
649,202412,315072.37
833,202312,315355.77
586,202412,315409.53
352,202412,315604.65
146,202306,316145.82
677,202308,316442.54
683,202311,317124.97
109,202412,317332.86
683,202411,317341.15
636,202412,317392.06
698,202309,317439.1
782,202412,317489.26
535,202302,318144.21
698,202305,318170.23
867,202406,318623.57
585,202310,319748.54
695,202412,320003.18
796,202412,320766.1
544,202412,321123.28
574,202412,321761.54
117,202310,321829.66
552,202306,321853.91
235,202402,321899.79
455,202301,322045.36
724,202412,322088.2
275,202401,323220.52
447,202412,323474.51
402,202412,323526.37
579,202412,323635.4
763,202310,324235.75
831,202412,324691.87
606,202412,324830.84
831,202312,325186.97
861,202411,325795.99
641,202412,326219.53
62,202412,326507.78
763,202411,326782.26
739,202303,326858.74
552,202309,326916.71
632,202412,327454.44
154,202412,328095.24
745,202412,328495.35
177,202412,328942.53
24,202412,329683.24
455,202311,329843.54
792,202302,329962.3
326,202411,330604.37
793,202301,331896.38
256,202412,332369.14
845,202412,332369.69
621,202412,332682.42
709,202309,332941.13
742,202301,333344.97
675,202412,333462.65
41,202412,333546.5
619,202412,334163.52
789,202412,334211.64
552,202412,334692.92
578,202412,334987.15
821,202412,335025.35
117,202311,335064.11
322,202412,336037.45
