TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,DATASET,AVG_VENTA_TOTAL,num_locales_cercanos,reportes_cercanos,num_escuelas,Meta_venta,PERFORMANCE_CATEGORY,PERFORMANCE_LABEL
126,1,BC,Hogar,127.42,13.0,7.0,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,982752.9068421052,0,0,0,490000,2,Excellent
681,1,C,Hogar,128.13,13.0,9.0,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,901997.1085,0,0,0,490000,1,Meeting_Expectations
117,1,C,Base,87.62,11.0,11.0,25.71883,-100.19133,Hogar Reunión,UT_DENSIDAD,TRAIN,494514.9431578947,0,0,0,480000,0,Below_Expectations
682,1,C,Hogar,90.7,13.0,7.2,25.66952,-100.20744,Hogar Reunión,UT_DENSIDAD,TRAIN,968538.3155,0,0,0,490000,1,Meeting_Expectations
275,1,C,Hogar,95.3,13.0,6.0,25.73766,-100.16116,Hogar Reunión,UT_DENSIDAD,TRAIN,859411.3780952381,0,0,0,490000,1,Meeting_Expectations
684,1,C,Base,116.07,13.0,9.0,25.70486,-100.15613,Oficinistas,UT_GAS_URBANA,TRAIN,431225.4826315789,0,0,0,480000,0,Below_Expectations
694,1,C,Receso,78.48,13.0,7.8,25.67955,-100.24328,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN,1263136.961,0,0,0,516000,2,Excellent
272,1,C,Hogar,100.58,12.0,7.0,25.70058,-100.2018,Hogar Reunión,UT_DENSIDAD,TRAIN,1564962.6455,0,0,0,490000,3,Outstanding
702,1,C,Hogar,73.24,13.0,5.2,25.67344,-100.26084,Hogar Reunión,UT_DENSIDAD,TRAIN,944419.429,0,0,0,490000,1,Meeting_Expectations
704,1,C,Base,107.23,13.0,8.4,25.68419,-100.22138,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,1036776.1226315788,0,5,0,480000,2,Excellent
